Title,Condition,Price,Shipping,Location,Sold Date,Rating,Sold After 2/22/26,US Seller,Log of Price,Log of Shipping
2019-20 Upper Deck Young Guns #201 Jack Hughes PSA 10 Rookie USA GOLDEN GOAL RC,New (Other),201.07,20.63,Located in Canada,2026-03-16,,1,0,5.303653106137555,3.0740812399649675
19-20 Jack Hughes PSA 9 Upper Deck Young Guns Rookie #201 USA Golden Goal SCORER,New (Other),120.0,8.75,Located in United States,2026-03-15,5.0,1,1,4.787491742782046,2.277267285009756
2019 Jack Hughes Upper Deck Young Guns Rookie Card #201 PSA 9 Team USA,New (Other),130.0,5.72,Located in United States,2026-03-15,5.0,1,1,4.867534450455582,1.9050881545350582
2019 UPPER DECK #201 JACK HUGHES YOUNG GUNS RC ROOKIE PSA 10,New (Other),255.9,10.97,Located in Canada,2026-03-15,,1,0,5.544786743165743,2.482403519569882
Upper Deck 2019-20 Young Guns Jack Hughes Rookie #201 PSA 10 New Jersey Devils,New (Other),199.99,5.72,Located in United States,2026-03-15,5.0,1,1,5.2982673652979955,1.9050881545350582
2019-20 Upper Deck Young Guns Jack Hughes Rookie RC #201 PSA 10,New (Other),275.0,5.0,Located in United States,2026-03-15,5.0,1,1,5.616771097666572,1.791759469228055
2019-20 UPPER DECK JACK HUGHES NJ DEVILS ROOKIE YOUNG GUNS #201,New (Other),249.99,5.72,Located in United States,2026-03-15,5.0,1,1,5.521420917062225,1.9050881545350582
2019-20 Jack Hughes PSA 9 Upper Deck Young Guns Rookie #201 USA Gold Medal RC,New (Other),125.0,5.62,Located in United States,2026-03-15,5.0,1,1,4.8283137373023015,1.890095369948917
2019-20 Upper Deck - Young Guns Jack Hughes #201 (RC) PSA 10,New (Other),265.0,5.97,Located in United States,2026-03-15,5.0,1,1,5.579729825986222,1.9416152247724325
JACK HUGHES NJ DEVILS ROOKIE YOUNG GUNS 2019-20 UPPER DECK #201 PSA 10 🏆GOAL,New (Other),219.99,8.0,Located in United States,2026-03-15,5.0,1,1,5.393582090773818,2.1972245773362196
Jack Hughes 2019-20 Upper Deck Young Guns # 201 Rookie PSA 10,New (Other),230.31,14.2,Located in Canada,2026-03-15,,1,0,5.439426227507917,2.7212954278522306
